transcript_id,batch1,batch2,chem1,chem2
YDR209C_mRNA,0,0,0,0
YDR210W_mRNA,0,0,0,0
YDR210W-A,0,0,0,0
YDR210W-B,0,0,0,0
tI(UAU)D_tRNA,0,0,0,0
YDR211W_mRNA,0,0,0,0
YDR212W_mRNA,0,0,0,0
YDR213W_mRNA,0,0,0,0
YDR214W_mRNA,0,0,0,0
YDR215C_mRNA,0,0,0,0
YDR216W_mRNA,0,0,0,0
YDR217C_mRNA,0,0,0,0
YDR218C_mRNA,0,0,0,0
YDR219C_mRNA,0,0,0,0
YDR220C_mRNA,0,0,0,0
YDR221W_mRNA,0,0,0,0
YDR222W_mRNA,0,0,0,0
YDR223W_mRNA,0,0,0,0
YDR224C_mRNA,0,0,0,0
YDR225W_mRNA,0,0,0,0
YDR226W_mRNA,0,0,0,0
YDR227W_mRNA,0,0,0,0
YDR228C_mRNA,0,0,0,0
YDR229W_mRNA,0,0,0,0
YDR230W_mRNA,0,0,0,0
YDR231C_mRNA,0,0,0,0
YDR232W_mRNA,0,0,0,0
YDR233C_mRNA,0,0,0,0
YDR234W_mRNA,0,0,0,0
YDR235W_mRNA,0,0,0,0
